,0,0,0
0,Scott Holstad,"Doesn't live up to his reputation. But then, many feel he himself didn't live up to his reputation (nor Plato). I believe many scholars have determined Democritus (with Leucippus) to be far more influential, accurate, knowledgeable, possibly more intelligent (certainly than Plato) and diverse, among other things. Noted virtually universally as ""father of modern science,"" through Leucippus's influence, he is often thought to be the first physicist, as he is typically credited for his formulation of an (detailed) atomic theory for the universe. In fact, his atomic hypothesis was developed to such a degree, and unlike anything else at the time, bore a resemblance to modern science and one could essentially argue that what we know, or learned, about atomics in the twentieth century was directly influenced by Democritus' atomic theory, which in many ways remains the basis for current atomic physics. Moreover, he dabbled and proved influential in a number of other areas, ranging from geometry specifically and math in general to geography and anthropology to the importance and essence of epistemology to scientific aesthetics to politics and natural philosophy (of course), where he seemed especially concerned with the subject of ethics, to military tactics as well as cosmology, poetry, biology and many, many more subjects -- really the first true Renaissance man. Really kind of puts some better known philosophers to shame (not that some weren't also geniuses -- it's just that many people can't find many in history, and virtually none before Democritus to explore and master such a wide variety of subjects. Indeed, his ""void"" thesis lived on to influence Newton and continued to hold that influence basically until Einstein). However, regarding this book by Aristotle, while this was a subject he was well versed in and despite this book being a bit dated, it was still fairly well done for the times, had some good ideas, thoughts, points, etc. Unfortunately, there's always been some controversy surrounding it due to some textual irregularities and discrepancies in some of the eight ""books"" making up this book, or rather what remains of them. (Some of the major topics among these different books include ideas about community, citizenship, regimes, education, constitutions and political theory, among others.) However, this to the point that some have argued the book represents seemingly two different versions, or perhaps stages, in Aristotle's thoughts, beliefs, positions, etc., and the two opposing sides seem so varied, almost oppositional, that IF Aristotle even wrote the entire thing himself, it's likely he would have done so over a long period of time, so that a significant period of time elapsed between the first and later sections, thus explaining its inconsistencies and, one might say, possibly two different belief systems. Thus, I'm only giving it two stars because even though it might otherwise merit three at least, the problems noted make it difficult to have confidence regarding sufficient authenticity, consistency and more, and frankly results in a poor book in its known form and hence one of his lesser works. As a result, not recommended.
...more
",it was ok
1,Brandon,"This book gave me a lot to think about and I would like to return to it after reading Plato's Republic, since a lot of it hinges on a criticism of that book. One thing I did not expect was that there is a lot of history and description of actual regimes in this book. There were many anecdotes from Greek politics, many interesting and some even amusing, but the historical section of the book got somewhat tedious because I was looking more for his theory of government. It's not until the last two chapters where Aristotle says what he thinks it the best type of government, and I found this part to be the most interesting. The entire last chapter is about education, and much of it about music education. I get the impression that Aristotle liked music.Much is made of how slavery is so central to Aristotle's argument. If one considers our modern equivalent of slave labor is automation and robotics, then those who would view politics as mere ""social engineering"" - perhaps you may call them technocrats - in a way are trying to simplify politics into mastery. To Aristotle this is unacceptable, because proper rule is between equals. In this understanding, his contention that proper rule is not an extrapolation of mastery is still applicable to today even though we find human slavery deplorable. One thing I disagreed with him on was that people who are capable of self-rule need to have an abundance in leisure. In fact, while in describing the nature of regimes he states that democracy works best when it is made up of farmers, because they have their own business to attend to and only make laws that are really needed. But in the section on his ideal regime, he says that ideally all the farming is done by slaves, so that the ruling class can have idle leisure. I think this is very similar to our current historical situation in the developed world, where farming is done by giant machines far away, and everyone has a lot of leisure time - yet our politics seems to be much more dysfunctional than when people were more self-sufficient. Aristotle does acknowledge that too much leisure and luxury can weaken successive generations, and he emphasizes the education in the virtues as the remedy for this. Maybe there is something to this, or maybe it is just that those effete artsy Greek's don't see the value in good old-fashioned hard work. 
...more
",it was amazing
2,Noah McMillen,"Listened to the audiobook. Favorite quotes:“Let us remember that we should not disregard the experience of ages; in the multitude of years these things, if they were good, would certainly not have been unknown; for almost everything has been found out, although sometimes they are not put together; in other cases men do not use the knowledge which they have” (Book II).“But we must remember that good laws, if they are not obeyed, do not constitute good government. Hence there are two parts of good government; one is the actual obedience of citizens to the laws, the other part is the goodness of the laws which they obey; they may obey bad laws as well as good” (Book IV).“The mean condition of states is clearly best, for no other is free from faction; and where the middle class is large, there are least likely to be factions and dissensions. For a similar reason large states are less liable to faction than small ones, because in them the middle class is large; whereas in small states it is easy to divide all the citizens into two classes who are either rich or poor, and to leave nothing in the middle. And democracies are safer and more permanent than oligarchies, because they have a middle class which is more numerous and has a greater share in the government; for when there is no middle class, and the poor greatly exceed in number, troubles arise, and the state soon comes to an end” (Book IV).“For two principles are characteristic of democracy, the government of the majority and freedom. Men think that what is just is equal; and that equality is the supremacy of the popular will; and that freedom means the doing what a man likes. In such democracies everyone lives as he pleases, or in the words of Euripides, 'according to his fancy.' But this is all wrong; men should not think it slavery to live according to the rule of the constitution; for it is their salvation” (Book V).“Every man should be responsible to others, nor should any one be allowed to do just as he pleases; for where absolute freedom is allowed, there is nothing to restrain the evil which is inherent in every man. But the principle of responsibility secures that which is the greatest good in states; the right persons rule and are prevented from doing wrong, and the people have their due” (Book VI).  
...more
",really liked it
3,Xenophon,"Carnes Lord's translation of Politics reminded me of how philosophy is one part the Author's insights/reasoning and another part the student's reaction. I slowly chewed this text over the course of a few months because I wanted to wrestle with Aristotle as a reasonably educated man rather than take the text in as. The old man delivered. A few piecemeal insights- first, this is a continuation of Nichomachean Ethics. They can both be seen as one large lecture series. Politics delves into the communal ramifications of the previous course and couples it with fresh insights and a load of historical references. Indeed, unless you are an expert in Mediterranean history between 500BC and 300BC, you'll need a text with good notes and a lot of patience. This University of Chicago edition does that just fine. Second, this is a foundation text of Western philosophy. Like all others of its kind, it records the thoughts of a true genius. A man who sat around and thought through every aspect of existence. He is far from right in all things, but even where the reader finds him wrong, they will find something familiar backed up with a stone wall of reasoning. Westerners have been talking back and forth with Aristotle for a long, long time. As such, there are books that I think are more profitable for the modern reader- books with similar (if not better) insights, but more navigable language, and more readily grasped historical references. But can you call yourself truly educated if you have never given the OG a try? It's like calling yourself an expert in film without knowing Citizen Kane. I would write more if I had the time for it, but suffice it to say, this is an essential. I only deducted a star because I enjoyed the Carnes Lord translation a little less than the other Aristotle translations I have read. Maybe one day Robert C. Bartlett will crank one out. If and when he does, I'll be ready to give the sage of logic another try. Hopefully a better historical background. 
...more
",really liked it
4,Jakub Ferencik,"Plato originally suggested that the elites can best rule over the people. Plato argued that cardinal virtues guide the elite, the philosopher-kings, which is why they take rule since they set away earthly desires. Aristotle dismissed this idea because he believed it ignored human nature. For Aristotle, a conception of human nature, as seen in Plato's Republic, ignored the importance of providing citizens, even the elite philosopher-kings, the mundane pleasures of life. We should pay attention to the goods of the body because we have human bodies that need our basic appetites, such as hunger and thirst, fulfilled.On the contrary, Aristotle thought that each citizen is best able to achieve ultimate happiness or eudaimonia when they pursue excellence in character. According to Aristotle, virtue is the middle path between the two extremes of vices, as he outlines in the Nicomachean Ethics (30). I discussed this concept in my review on that book. In Aristotle's polity, the rulers and ruled take turns in governing. The leading cause of revolution, Aristotle argued, is preventing an exchange of rule by not treating each citizen equally. Oligarchical regimes, Aristotle writes, are based on the presupposition that unequal citizens in one way are unequal in every way (Politics 187). Therefore, the oligarchical ""superiority,"" Aristotle argued, is the ultimate cause of revolution (191). ""Disproportion"" occurs when in a state that has many parts, one part grows exponentially where the others do not (193). We can see this throughout history: either when Romanian citizens in 1989, overthrew Nicolae Ceaușescu's government and shot the dictator and his wife or when the angry french mob decapitated Louis XVI during the French Revolution. Aristotle's predictions for revolt as a result of the unequal nature of oligarchies were correct. .
...more
",liked it
5,Aiden,"Interesting read, obviously relations between master and slave or man to woman are expressed in an outdated manner suited to classical antiquity, but particular highlights are the discussion on the best constitution and the seeming preference being aristocracy not in the sense of an extension of oligarchy but as a sort of meritocracy. Certainly one can read this and see how deeply it influences western thought. The notion that there are different levels to the four forms of constitution - democracy, monarchy, oligarchy, aristocracy - in that you can be too democratic, too oligarchic, that the prosperity and involvement of the middle class in a society as a mediator between the contending forces of rich and poor is best; that the poor in power will destroy the rich; that the rich in power will neglect the poor; that society’s happiness and well-being must be measured not against one particular section of the state but across all its members. Apply this thought to contrasting examples of communism - which if we look at China has a more oligarchic format in terms of being a democracy where the people are nominally rulers but the party there rule - liberal democracy where nominally people rule but within Britain more often than not the conservatives representing oligarchic interests of the aristocracy, monarchy and better off enjoy more or less sustained hegemony throughout British history.All in all pertinent questions raised that remain relevant today, to be too democratic means a weak state and an inability to action, not being democratic enough tends to tyranny and failure of the role of the state to safeguard the population - so dust off the republic and build a new constitutional utopia taking the best parts of what Aristotle outlines in this book...good luck.
...more
",it was amazing
6,Nick Paulter,"Politics, AristotleAn often redundant discussion, and with many examples that are somewhat historically inconsequential, but, interestingly, the government types he describes about 2500 years ago still exist, still dysfunction in nominally the same ways, still (mis)treat people in the same ways, and still transform from one to another for the same reasons. Tyrants come to power for the same reasons, people become complacent or disinterested for the same reasons, and revolutions occur for the same reasons. The examples he provides from the ancient Greek world and environs could have just as well been taken from our world during the last couple of decades. Aristotle describes the parts of a government that are basic, namely a deliberative body, a judicial body, and executors/administrators, similar to what most states have today (although execution may not be ideal). He describes the need of a welfare system to promote and teach self-sufficiency in the population, a state-sponsored educational system, etc., all of which are part of most modern societies. I thought it was remarkable, perhaps from a naïve sociopolitical perspective (of which mine is limited), that nothing has changed significantly in a political sense over the last two millennia. Interestingly, he makes a suggestion for marriage: 37 years for the man and 18 yrs for the woman, and to be wed nominally in the winter. I got the season and age difference right (although not the actual age), perhaps that’s a reason my marriage is lasting.
...more
",liked it
7,Aristotle,"The Politics by AristotleA book best left to the classrooms. Aristotle’s Politics is a sometimes interesting, mostly garishly boring book composed over two millennia ago. Some of it still holds up today, some of it really does not. It’s difficult to judge books that are so old but I’ll do my best to offer my thoughts on it.For one, it’s exhausting. It took me almost three months to finish this book, whereas similar sized books could be finished in under a week. Unless you are seriously invested in Greek/Classic philosophy and/or political analysis, I’d advise staying away. I had experienced Aristotle’s Nicomachean Ethics before this a few years back but it appears that these are two very different pieces.Secondly, it is rather well rooted in it’s time. For example, Aristotle not only believes in slavery but justifies it. This isn’t a wholehearted negative if you’re interested in exactly how they did in fact justify slavery, but otherwise the reader will be constantly held up by how often this piece does not connect well with our lives today.On the other hand, where Aristotle does do proper political analysis that is disconnected from his period, the book shines. These parts were my favorite to read and is an example of good philosophy. I also liked how Aristotle’s use of far more empirical evidence than his contemporaries gave his arguments more bite.Overall, the Politics is an interesting look into the world of 4th century BC politics and thinking. Aristotle articulates himself in a way not unlike ourselves, but his world is distinctly different to ours. But as they say history doesn’t repeat, it rhymes. This is a short review because even thinking about the book now makes me tired, so I’ll be happy to move on to more modern philosophers, or perhaps no philosophy at all for a little while. I’m leaving it with a 5/10.
...more
",it was ok
8,Tom,"Read the classics, you won’t find a balm in Gilead for whatever ails you in this day and age but you’ll certainly find here's nothing new under the sun. It’s always been a bonehead move to base ones entire ethico-political system on an assumed and self justifying natural hierarchy. Imagine you live in a democratic society with people who are poor and people who are wealthy, the wealthy exist within a position that allows them to further amass political and economic power, inequity worsens as they govern for themselves, outrage follows. Your democracy has become an oligarchy, tyranny reigns.The intelligentsia tell you to sit back and a) hold out for a messianic class of virtuous political actors to guide you to a promised pragmatic land, b) it won’t happen again if we’re all more virtuous next time, c) do both but by g-d! don’t change a thing that mightn’t be natural! Reform happens but the fundamental basis of the system doesn’t change. The situation inevitably regresses. Rinse, repeat, ad nauseam.That situation is today, yesterday, and ancient history. lt’s the sum of all the wisdom held in the pages of this book. The Politics is not a political manual, it’s a social tragedy. Aristotle and colleagues were able to see what was going wrong but lacked the (academic) virtue to escape Grecian teleology. A fault modern readers, one hopes, can themselves overcome. Read the classics, stop living them.
...more
",liked it
9,Lori,"Yet another classic that was cherry-picked into oblivion in order to justify just about anything. But unlike Plato, Aristotle uses a better way of analysing human society, that of organic growth rather than pure linearly analytical. Lewis Mumford in ""The City in History"" (p. 184) puts it best:Yet just because Aristotle's philosophy was basically that of a biologist, rather than a mathematician, he brought to the discussion of cities something that Plato lacked: a knowledge of the immense variety of species and an appreciation of the endless creative manifestations of life itself. With this came an understanding of the teleological, goal-seeking, self-actualizing nature of all organisms, and of the natural limits that define normal growth. For Aristotle, the ideal was not a rationally abstract form to be arbitrarily imposed on the community: it was rather a form already potential in the very nature of the species, needing only to be brought out and developed.While the developmental, organic metaphor might be a better way of thinking about human society, that does not excuse some absurd conclusions like the justification of slavery or sexism. Aristotle is the prime example of having human prejudices projected onto nature, and then using that projection to justify the initial prejudice as natural.
...more
",liked it
