,0,0,0
0,Domhnall,"In about 350 BC Europe was about to embark on an era of civilisation for which Aristotle wrote the users manual. When his student, Alexander the Great, conquered a huge territory from Turkey to Afghanistan, Hellenic philosophy sparked changes including the transformation of Judaism from a primitive to a more sophisticated type of religion. It is not surprising to find similarities there and in the writings of St Paul to the views first articulated by Aristotle nor – in a pleasing symmetry - that medieval popes thought Aristotle must have been divinely inspired to anticipate so much of their own beliefs. Renaissance and early modern political theory owed everything to the rediscovery of the Greeks and not least Aristotle, and it is not hard to recognise his Politics recycled through Locke’s Treatises on Government or the constitution of the United States. In debates with modern Americans, the habitual insistence on appealing to first principles and to Natural Law, subordinating many human rights to property rights, and women to men, are all familiar territory to readers of Aristotle. I suspect there are many different and valid ways to read Aristotle’s Politics but to understand European political history it is absolutely essential to be aware of it. Aristotle’s Nicomachean Ethics concludes in the view that a life of virtue requires “right laws” and hence we need to examine how such legislation can be accomplished. “But it is difficult to get from youth up a right training for virtue if one has not been brought up under right laws; for to live temperately and hardily is not pleasant to most people, especially when they are young. … This is why some think that legislators ought to stimulate men to virtue and urge them forward by the motive of the noble, on the assumption that those who have been well advanced by the formation of habits will attend to such influences; and that punishments and penalties should be imposed on those who disobey and are of inferior nature, while the incurably bad should be completely banished. … the man who is good must be well trained and habituated, and go on to spend his time in worthy occupations and neither willingly nor unwillingly do bad actions, and this can be brought about if men live in accordance with a sort of reason, and right order, provided this has force… It would seem from what has been said that he can do this better if he makes himself capable of legislating. For public control is plainly effected by laws, and good control by good laws…”  [N Ethics Book X Ch 9] The Politics itself opens with a firm assertion of the centrality of politics: “Every state is a community of some kind and every community is established with a view to some good; for mankind always act in order to obtain that which they think good. But, if all communities aim at some good, the state or political community, which is the highest of all, and which embraces all the rest, aims at good in a greater degree than any other, and at the highest good.” [Bk 1, Ch 1] In Book 1, Aristotle constructs his vision of the political community from simple elements which, to his mind, are a necessary state of affairs. “In the first place there must be a union of those who cannot exist without each other; namely, of male and female, that the race may continue (…because, in common with other animals and with plants, mankind have a natural desire to leave behind them an image of themselves), and of natural ruler and subject, that both may be preserved… Out of these two relationships between man and woman, master and slave, the first thing to arise is the family. The family is the association established by nature for the supply of men’s everyday wants, … But when several families are united, and the association aims at something more than the supply of daily needs, the first society to be formed is the village… When several villages are united in a single complete community, large enough to be nearly of quite self-sufficing, the state comes into existence, originating in the bare needs of life and continuing in existence for the sake of the good life. “Hence it is evidence that the state is a creation of nature, and that man is by nature a political animal. And he who by nature and not by mere accident is without a state is either a bad man or above humanity; he is like the < tribeless, lawless, hearthless one> whom Homer denounces – the natural outcast is fortwith a lover of war… Now that man is more of a political animal than bees or any other gregarious animal is evident. Nature as we often say, makes nothing in vain, and man is the only animal whom she has endowed with the gift of speech. And whereas mere voice is but an indication of pleasure of pain, and is therefore found in other animals… the power of speech is intended to set forth the expedient and the inexpedient, and likewise the just and the unjust. And it is a characteristic of man that he alone has any sense of good and evil, of just and unjust and the like, and the association of living beings who have this sense makes a family and a state.” [Bk 1 Ch 2]. “…the first and fewest possible parts of a family are master and slave, husband and wife, father and children.” [Bk 1 Ch 3] “…Property is a part of the household and the art of acquiring property is part of the art of managing the household; for no man can live well, or indeed live at all, unless he be provided with the necessaries… a possession is an instrument for maintaining life. And so, in the arrangement of the family, a slave is a living possession, and property a number of such instruments. … he who is by nature not his own but another’s man, is by nature a slave, and he may be said to be another’s man who, being a human being, is also a possession.” [Bk1 Ch 4]“For that some should rule and others be ruled is a thing not only necessary, but expedient; from the hour of their birth, some are marked out for subjection, others for rule.” [Bk 1 Ch 5]""It is clear that the rule of the soul over the body and of the mind and the rational element over the passionate, is natural and expedient, whereas the equality of the two or the rule of the inferior is always hurtful. The same holds good of animals in relation to men; for tame animals have a better nature than wild, and all tame animals are better off when they are ruled by man, for then they are preserved. Again, the male is by nature superior, and the female inferior; and the one rules, the other is ruled; this principle, of necessity, extends to all mankind…” [Bk1 ch 5]Book II sets out to consider the broad principles of the distribution of political power and material wealth. After criticising Plato’s two ideal states, The Republic and The Laws, and then the theories of Hippodamus, it discusses the constitutions of a range of states – Lacedaemonian (Sparta), Cretan, Carthaginian – and identifies their limitations. Book III asks “who is the citizen and what is the meaning of the term.” He suggests “He who has the power to take part in the deliberative or judicial administration of any state is said to be a citizen of that state and, speaking generally, a state is a body of citizens sufficient for the purposes of life.” [Bk III Ch 1]. Aristotle acknowledges diverse constitutional arrangements are possible, and suggests that there are true forms and perversions: “The words constitution and government have the same meaning and the government, which is the supreme authority in states, must be in the hands of one, or of a few, or of the many. The true forms of government, therefore, are those in which the one, the few or the many govern with a view to the common interest; the governments which rule with a view to the private interest, whether of the one, or of the few, or of the many, are perversions.” [Bk III Ch 7]. There follows an elaborate discussion of the claims made for different forms of rule. Book IV questions what kind of government is best adapted to a particular state, with a warning that “political writers, although they have excellent ideas, are often impractical…. Any change of government which has to be introduced should be one which men, starting from their existing constitutions, will be both willing and able to adopt, since there is quite as much trouble in the reformation of an old constitution as in the establishment of a new one, just as to unlearn is has hard as to learn. … We must know the varieties and the number of varieties of each form of government, if only with a view to making laws. For the same laws cannot be equally suited to all oligarchies or to all democracies, since there is certainly more than one form both of democracy and of oligarchy.” [Bk IV Ch 1] He warns, too, of the risks in any form of government. E.g. “For in democracies that are subject to the law, the best citizens hold the first place, and there are no demagogues; but where the laws are not supreme, there demagogues spring up… At any event, this sort of democracy, which is now a monarch, and no longer under the control of law, seeks to exercise monarchical sway, and grows into a despot; the flatterer is held in honour, this sort of democracy being relative to other democracies what tyranny is to other forms of monarchy.” [Bk IV Ch 4]. He later advocates “Thus it is manifest that the best political community is formed by citizens of the middle-class, and that those states are likely to be well administered, and stronger if possible than both the other classes, or at any rate then either singly; for the addition of the middle class turns the scale, and prevents either of the extremes from being dominant…” [Bk IV Ch 11] and in chapter 12 he describes techniques by which both oligarchies and democracies set out to deceive the people. Book V looks into circumstances leading to revolution against the government of a state. He suggests that “Revolutions in democracies are generally caused by the intemperance of the magistrates.” They arise in oligarchies when the people are oppressed or when there is a quarrel among the oligarchs. They arise in aristocracies “when the mass of the people are of the high spirited kind and have a notion they are as good as their rulers.” He later considers the same for monarchy and tyranny. Useful cautions are these: “Again, the revolution may be accomplished by small degrees; I mean that a great change may sometimes slip into the constitution through neglect of a small matter...” “The citizens begin by giving up some part of the constitution, and so with greater ease the government change something else which is a little more important, until they have undermined the whole fabric of the state.”Book VI looks into various forms of government. He suggests that “democracy and demos in their truest forms are based upon recognized principles of democratic justice, that all should count equally.”  [Bk VI Ch 2]. “The first and best attempered of oligarchies is akin to a constitutional government.” [Ch 5]. Book VII argues that “the form of government is best in which every man, whoever he is, can act best and live happily.""  The choices discussed – such as the ideal population size – suggest the this is largely relevant to the ancient world in which the Greeks established new colonies all around the Mediterranean. Book VIII examines the education of citizens. “Since the whole city has one end, it is manifest that education should be one and the same for all, and that it should be public and not private - … Neither must we suppose that any one of the citizens belongs to himself; for they all belong to the state and are each of them a part of the state and the care of each part is inseparable from the care of the whole. … That education should be regulated by law and should be an affair of the state is not to be denied… [but] mankind are by no means agreed about the things to be taught….” [Book VIII Ch 1,2] 
...more
",it was amazing
1,Asya,"It’s more realistic than Plato, but Aristotle didn’t write his own books by himself, unfortunately. This book contains of some notes, ideas.I didn’t find much information about πολιτεία. ",really liked it
2,Borum,"This is my first time at reading Aristotle, and I thought I was ready after being trained by Plato's dialogues. Boy was I mistaken. I also made the error of not reading the Nichomachean Ethics before reading the Politics. It might not have mattered, but I'm considering reading the Politics again after I read the Ethics to get a better grasp at Aristotle's idea of political virtue and the difference between the virtue of man and the virtue of a citizen.Aristotle and Plato is like the two sides of a coin, and I'm planning on reading a book called The Cave and the Light: Plato Versus Aristotle, and the Struggle for the Soul of Western Civilization after reading their works. It's fascinating how the teacher and the student can differ so much on basically the same issue. They are both preoccupied with how we can make men happier and thus are always questioning the main way for man to become happy, i.e. the virtue of man and man's society. I'm glad I read this after reading Plato's Republic, as I had some questions and objections regarding Plato's idealized and probably improbable republic with a tinge of totalitarianism. Aristotle criticizes Plato's Republic and some of his other works and even goes on to point out the faults of the other actual regimes in the vicinity. However, I'm still left with the question: so, what's the alternative, then?This is an important question, because unlike Plato, Aristotle doesn't linger on the discussion of 'what' virtue is, but moves on the main question of 'how' to attain that virtue and whether the ideal virtue is actually attainable or feasible in the given circumstances. This is reflected in his classification of the different sort of economic and educational activities and his search for the not only the 'best' regime and legislation in the unqualified sense, but also the 'best' regime and legislation according to the different cities. However, he keeps reminding us that all these economic, educational and administrative and adjudicative activities and systems are just the 'means' to achieve the real 'end (telos)' Man is a political animal that intentionally establish political communities not just for self-sustenance but also for the pleasure of living together and the virtue of a noble life. Insomuch as money is just the means and currency used in economic activities and should not become its aim, all the regime and legislation and the components and systems of a city are the means to achieve that political virtue. Even the people should not forget that their wealth, birth or number are just circumstantial merits in becoming full citizens and remain the mere tools of political power play and actively participate in order to achieve their true common goal. The first reading left me feeling a little alienated (disgusted, to be honest) by Aristotle's blatant stance to denigrate anyone who is not a citizen of Athens (including women, slaves and foreigners) but I tried to get over that by reminding myself not to judge him on my own anachronistic point of view. Then I got put off by his opposition to democracy but I later learned his distinction between democracy and polity and also learned of the demagoguery in the years during and after the Peloponnesian War. I'm still a little disappointed in his conservative tendency to stick to the status quo, but after having got over with it, I'm finding interesting and even quite astute points being made throughout the book. I'm only sorry that the book is not fully restored. Books 6 and 8 are inconclusive and some pages seemed to have become either physically lost in antiquity or lost in translation. I'm hoping that reading other works by Aristotle (Nichomachean Ethics, Metaphysics) will give me a more complete picture. 
...more
",liked it
3,Thomas Hammer,"Aristotle is alright, but he is so... earthbound, like he didn't join the other Chads to uncover the eleusinian mysteries. Politics doesn't really present a coherent argument nor an outline of his idea of an ideal political structure. Rather it talks about various systems in abstract and in concrete, their characteristics, benefits, pitfalls, and how this has manifested historically. Boring, without poetical nor metaphorical beauty, doesn't soar to the heights, stays within the four walls of common sense.Plato > Aristotle
...more
",liked it
4,Alan Johnson,"(Note: The Goodreads description of this second edition of the Carnes Lord translation is in a language other than English. However, the ASIN [Kindle] and ISBN [paperback] numbers refer to Carnes Lord's English translation, which is the subject of the following review.)I initially read Sir Ernest Barker's translation of Aristotle's Politics in 1965. The present edition by Carnes Lord includes an excellent translation and introduction with helpful endnotes regarding the meaning of important Greek terms, relevant ancient history, alternative translations, and variations in the manuscript sources. As for Aristotle's work itself, one finds many objectionable things (slavery, the inferior role of women typical of ancient Athenian society, the also typical incorporation of the religious priesthood into the government of the polis, the limitations of citizenship, and so forth) as well as some important insights. Ever the empiricist, Aristotle discusses at great length the many varieties of government that the Greeks and others had created during and before his era. All in all, it is quite a puzzling picture for us denizens of the twenty-first century. At some point, I may do a more exhaustive critique of the Politics, but other scholarly projects preoccupy me at the moment. The five-star rating is for the editorial and translation work of the subject edition. It is impossible to rate Aristotle himself, but the fact that his work has survived for more than two millennia is itself an indication that we can still learn from him, even while disagreeing with some of his apparent teachings. In this connection, no less a democrat than Thomas Jefferson wrote, with regard to the Declaration of Independence (which he substantially authored), that ""[a]ll its authority rests then on the harmonizing sentiments of the day, whether expressed in conversation, in letters, printed essays, or in the elementary books of public right, as Aristotle, Cicero, Locke, Sidney, &c."" Thomas Jefferson to Henry Lee, May 8, 1825, in Thomas Jefferson: Writings, ed. Merrill D. Peterson (New York: Library of America, 1984), 1501. Many historians and political scientists also attribute certain aspects of the U.S. Constitution (especially the mixed nature of the republican framework) to Aristotle's Politics. Aristotle is not the last word, but his contribution to political philosophy should not be ignored.
...more
",NONE
5,C.P.,"What is remarkable is how little has changed in the conservative and liberal positions since Aristotle. Some of it reads like it came from a recent blog.My interest in finishing reading this classic is to provide some context for my discussion of the polis and the oikos in the second and, hopefully soon, first published edition of my book ""Popular Capitalism"". The treatment of the oikos was superficial and none of analysis applied to the polis was used in a deeper analysis of the oikos. Federation and empire were also treated superficially as the polis writ large. The political analysis, or what passes for it today, of the liberal and conservative adopt the same superficiality resulting in their error of making no distinctions between the levels of government, nor between individuals, families, households and corporations as ""private"" entities.On the other hand, Aristotle's analysis of education as a preparation for one's role in the polis is accurate and, though limited to the single role of citizenship and omitting the crucial mechanism of the examination, is an excellent basis for an analysis encompassing the merit examinations for civil service advocated by Carl Schurz, academia and vocational training.Most of the book is devoted to the study of constitutions and directed toward goals from his book on Ethics with the emphasis of the Socratic school on seeking the morally ""good"" or ""best"" of everything. Though I find no merit in morality, I can see where this study could afford an excellent introduction to comparative political science, including the effect of philosophical bias on those studies.
...more
",really liked it
6,E.H. Nolan,"First, read Plato’s Republic. Then you can read Aristotle. It’s only fair, since he was Plato’s student and protégé. If you’re not used to political writings, especially ancient ones, this might seem a little daunting, but trust me, you’ll get through it. You can look at it with irony, sadness, or happiness at human relativity, but the truth is politics hasn’t changed that much through the centuries. Entire college courses have been devoted to studying Aristotle’s philosophies, and we’re still not any closer to finding the meaning of life than he was!In Politics, Aristotle asks questions about the individual’s role in society. How should one conduct himself in order to be useful to the state and to his fellow citizens? He delves into the nature of an ideal society, much like his teacher Plato did in The Republic.  Those who have already studied Plato will see the student, clearly admiring his mentor but wanting to contribute his own theories to the same questions, and that in itself makes it a fascinating read.If you’re interested in studied the Founding Fathers of philosophy and “the ideal society”, Plato and Aristotle are must-reads. Just take it slow and don’t get overwhelmed by the structure. (But don’t worry if you get overwhelmed and take a long time to get through it. I was a political science student and got overwhelmed myself!) Just remember that he’s just like you: wondering, unsure, and hopeful.http://hottoastyrag.weebly.com/politi...
...more
",liked it
7,Browne,"My initial review for this was getting to around 2000 words which is the longest continuous piece of writing I've done since uni (life has been very undemanding since then) so clearly this book fulfils the criteria of being thought provoking. I'll dump that vomit in an anonymous blog or something.Aristotle is alien to the modern Western spirit of politics. His ideal state features slaves, extremely limited if not absent democracy, a rejection of the idea of 'the dignity of labour' especially for the ruling classes (see this excellent essay on the matter by Nietzsche: ""The Greek State"" http://nietzsche.holtof.com/Nietzsche...), a disdain for money and international trade (""[states] should not become marketplaces for the world"" how anathema is this to the values which politicians and entrepreneurs now espouse?), and a strict hierarchy, amongst other things.These ideas ought to be dealt with seriously and not merely cast off because they bump up against the moral truisms of our age, maybe you find yourself agreeing with Aristotle on these points? He certainly argues logically, as you would expect, equally there are good arguments you could raise against him.Besides all this, the book serves as a cool glance at the various constitutions of the Ancient Greek world.
...more
",really liked it
8,Bryan,"The irony of me calling Aristotle's work average is not lost on me.: Yep, I feel way over my head giving Aristotle three stars, but I'm throwing in my two cents anyhow.  This book is an incredible window into another time. Aristotle's views on a number of topics (women and slavery come quickly to mind) stand out so opposed to our beliefs today that it's almost worth reading this book just to get some perspective on how new some of the social ideas we take for granted really are. Getting that sense of perspective is truly the best part of this book.  That said, there is little here beyond that for anyone but a student of philosophy or someone engaging in a very serious study of the history of government. Very little of what Aristotle says rings true today and at times it's as if he went to the future and decided to predict the exact opposite of what's come to pass.  If you are a layperson looking for a classic on government, I recommend Plato's Republic. While it is even older than Aristotle's work, it is filled with insights that feel as if they must have been written in modern times. That is a truly inspiring feat of thought and foresight.
...more
",NONE
9,Michael Koby,"Before reading this I read Plato's ""The Republic"" which is spent defining justice. This book deals more in the politics of the city. Who are it's citizens, who are not citizens, what kinds of governments are there, why some should be considered better than others, and how the people are raised, educated, and participate in their government.I liked this better than I liked ""The Republic"", maybe because this deals more with solid principles where ""The Republic"" was looking to define a more abstract principle. However, I fell both books are extremely relevant today, maybe ""Politics"" more so given it's subject matter.I do feel I need to read ""Nicomachean Ethics"" as it's the other side of the coin to ""Politics"" and maybe it'll give a better look at Aristotle's bigger picture.
...more
",liked it
