,0,0,0
0,Matt,"As Plato’s writings have been a cornerstone of Western thought, so have those of his pupil Aristotle through his own lectures and treatise sometimes agreed and disagreed with his teacher while shaping the views of millions over the millennia. Politics is one of the most important political treatise that has impacted society as it is studied alongside Plato’s own Republic not because they agree, but how they agree through different methods and disagree in conclusions.Unlike the approach of Plato, Aristotle focused on the examples that the Greek political world knew of to determine the best approach for government of a polis. Classifying the types of government into six forms, three “ideal” and three “perverted”, Aristotle described them as showing their pros and cons in an effort to establish the “best”. Then his analysis turned to various functions of government from laws, offices, and how to pass or fill either. Yet, underlying everything is Aristotle’s insistence that human nature determines everything concerned with governance.Politics, while thought-provoking and significant in its analysis and conclusions, is unfortunately not without its flaws. The biggest is Aristotle’s argument of natural rulers and natural slaves that is so opposite to the way many think today. The next biggest is that fact that the overall work seems like it is not coherently organized or even complete as many aspects that Aristotle says he will cover never appear and he writes about the bringing about his conclusive best government before actually proving what it is, though given his argument that the best government for a polis depends on how its population is constructed.Aristotle’s Politics is at the same both thought-provoking and maddening especially given the soundness of his analysis and the disorganized state of the overall treatise. Yet it is one of the most important treatises of political thought of the Western world and is significant in political and historical terms as it has been influential for millennia.
...more
",liked it
1,Laila,"It's rather silly to be critical on Aristotle's views on slavery, women, virtues and such; he was merely reflecting the culture and the setting of his time. Sadly, while slavery had been abolished or criminalized in most part of the world, nevertheless modern slavery still exist. Meaning we as human race still don't get it that enslaving fellow human beings for whatever reason is wrong.I agree with Aristotle that democracy while not the best form of governance is far better than the alternatives--monarchy or tyranny (I would add anarchism). Similarly, capitalism while not the best economics system is far better than the alternative--socialism.An interesting take from Aristotle in this book is that in order to stabilize the relationship between the rich and the poor classes (that always mistrust of each other) is to keep theses two classes small and in turn to create a larger middle class as a buffer thus lessen the tension among classes. What a clever bugger, Aristotle was to think of that. 
...more
",really liked it
2,Alex,""" . . . [I]t is quite evident that the city must be concerned [with] virtue . . . [f]or otherwise the community becomes an alliance, differing only in location from others in which the allies live far apart, and law becomes an agreement . . . but not such as to make the citizens good and just.""The rejection of defining a community based on social contract or economic incentive is a correct course, but it is not one genuinely kept throughout the pages of this work.
...more
",liked it
3,Grace,"Came for the politics, stayed for the education.Extraordinarily refreshing to read something out of my own time, warts and all.",NONE
4,Galicius,"Book ICommunities and states are established to bring the greatest good to its members. Qualifications of a king and master or householder are not the same as some (Plato) think. It’s not just the number of subjects they have to deal with. A statesman is also different and he rules when citizens set up a government and rule by political science. But there are different kinds of rule.Aristotle goes no to consider the relationship between master and slave, absolute and relative meaning of the terms. He questions whether slavery is indeed natural and compares warfare to hunting of wild animals. He points out that the Greeks consider themselves free men everywhere but don’t consider barbarians the same way. Barbarians are only free in their own land. He begins consideration of property and wealth getting both that which is necessary like obtaining food and managing household and the unnecessary type like unlimited gathering of coin or other property. Men confuse their goal of living well which has a limit of how much wealth it requires with that by which they become absorbed with acquiring wealth and property and loose sight of their original aim. Their desire becomes unlimited and unnecessary. There is a natural way of gathering wealth from fruits and animals or land or sea. The other way or retail trade is not natural. The “most hated sort” is usury which makes money out of money itself—“of all modes of getting wealth this is the most unnatural”.Theorizing about wealth getting may be worthy of philosophy but in practice such discussion may be irksome.There are three occupations in wealth getting: husbandry and farming; exchange, commerce, usury; mining.Aristotle gives two examples of financial speculation where one man created a monopoly of wine presses, and another a monopoly in iron. A husband and father rules over his wife and children, and as master over his slaves. “For although there may be exceptions to the order of nature the male is fitter to command than the female, just as the elder…to the younger and more immature.Aristotle raises the question whether there is any excellence and virtue in a slaves and women. If they “share in rational principle” it’s absurd to think they have one and should be ruled instead of ruling also.The ruler too can be unjust, cowardly and will not rule well. Both the ruler and subject have virtue but varying. Socrates said, “the temperance of a man and of a woman…are not the same…or the courage and justice”. All classes have their “special attributes”. He quotes Sophocles from Ajax: “Silence is a woman’s glory”. Masters should be a “source…of excellence” to the slave and not employ command only.The virtues of a family are supposed to make a difference in the virtue of the state. Aristotle will “examine the various theories of the perfect state” next.
...more
",it was amazing
5,Atratzu Talgala,"Why I wanted this book:I consider myself something of a slight armchair philosopher. I heard enough philosophy growing up that I definitely agree that the “unexamined life is not worth living.” I’ve combed the internet for free resources and checked out various lectures online. As an armchair philosopher I thought it kind of funny I didn’t even own any philosophy books… not proper philosophical-thought-books anyway, because naturally there are philosophies in the background of all that we say, do, see, read, etc.So I wanted to take the next step and pick up a philosophy book. Where better to start then the Ancient Greeks? I’m fairly familiar with Socrates, Plato, and Aristotle and that they are sometimes considered the foundation for western thought. However I’m not entirely certain this was the best book to start with, and would probably be better suited to read in a scholastic setting where questions would be asked during a lecture or after reading a section and there was a teacher specializing in ancient greek culture on hand.All that to say I got in over my head with this book. I’m not going to pretend that “ah yes, this book is rich and finely decorated” much like the emperor’s clothes. I struggled paying attention while I was reading and tried different methods to keep my attention on what I was reading. (A friend suggested I keep notes in a notebook, so that’s what I did and worked the best.)I’ll do my best to articulate my opinion on this book… but I’m afraid I have trouble recounting what I actually read. I have a notebook full of notes from 1313a11 to 1342b7. But without those notes I could tell you nothing about what I read just days after reading it. Again… I’m not sure what that says about me, the book, the translation, or something else.Bekker Numbers (I don’t understand them)First I would like to explain a detail about how this book is organized that I never really figured out: There are Eight “Chapters” in this book and they’re called “Books” for some reason. I don’t know why they’re called books instead of chapters, I suspect this has something to do with translation from greek… It might also be because the topic changes, but not until you’ve worked your way into that chapter. Oftentimes I found the thought continuing from chapter to chapter… Again, I found the organizational method very puzzling and distracting.The book is also organized by some set of numbers and letters which are related to the translation, called “Bekker Numbers” I’m sure all of that was very interesting and useful for people properly studying this manuscript and contrasting it with the original greek manuscript, but it just confused me as a casual reader... Especially since the book starts at 1252a1. Presumably meaning Politics by Aristotle starts at “page1252, left column, first line”.General statements about the book:There’s a lot of ideology that Aristotle had on governments and how the they should be run that just really doesn’t make any sense to me and might be best explained by an expert on the subject; Children raised by the state, the different classes (Husbandmen, Artisans, Gaurdians, etc), slavery, and more.However just as there are some confusing and appalling topics there is a lot of progressive thought that you can see influenced today's society. In particular I think of the general question “What is the purpose of government” and Aristotle's answer in book 7 (1328b8) “Let us enumerate the functions of a state, and we shall easily elicit what we want: first, there must be food; secondly, arts for life requires many instruments; thirdly, there must be arms, for the members of a community have need of them, and in their own hands, too, in order to maintain authority both against disobedient subjects and against external assailants; fourthly, there must be a certain amount of revenue, both for internal needs, and for purpose of war; fifthly, or rather first, there must be a care of religion, which is commonly called worship; sixthly, and most necessary of all, there must be a power of deciding what is for the public interest, and what is just in men’s dealings with one another”.It sure makes “Life, Liberty and the pursuit of Happiness” in the united states declaration of independence seem so much more succinct, doesn’t it?Honestly I feel like it’s difficult to talk about Politics by Aristotle because it’s such an incredible collection of ideas and thoughts that to do it justice you need to spend a lot of time discussing each book individually… Aristotle covers: What is a government/state? What form does politics take? The types of governments, what governments are good, what governments are bad,responses to governments from other city-states in the area, Education, public education, should children learn music? Aristotle uses analogies and comparisons to mathematics/geometry, and even musical modes “Dorrian is the manliest mode” according to Aristotle at 1342b7.I’m tempted to try to break each chapter into a topic and theme… but that’s very challenging for some sections of the book. Sometimes it feels like I’m reading a lecture, other times it feels like I’m reading the ranting of an old man, still other times I can understand why people are mesmerized by Aristotle's teachings. I feel like I ran the gauntlet of opinions throughout this book.Conclusion:So, I’ve said a lot of words about this book… what’s my conclusion? My final thoughts?I think that this book is an excellent collection of ideas. Some, I like. Some, I dislike. My experience with philosophy has always been a mixed bag of opinions and ideas that I agree with and disagree with. The value in philosophy for me is learning why I think what I think and being able to articulate that accurately and discuss it respectfully.So I pose more of these types of questions to myself: Did I learn anything? Was I exposed to new ideas? Was there value in reading Aristotle (outside of any worthless self-esteem “bragging rights”)? Easy answer: Yes.HOWEVER, I think I will need to return to this book someday and review it. I don’t think I have a strong enough foundation for my study of philosophy to properly appreciate all that is being discussed in this book. Again, I can’t shake the feeling that I’m not really understanding some of the key themes and topics addressed in this book, but I’m sure I’ll eventually crack it back open and try again.That’s the wonderful thing about learning and knowledge… it builds on itself. You need to learn basic mathematics before you try Geometry or Algebra. Politics by Aristotle might have been a bit too far of a jump for my current understanding but you’ll never know how you stack up unless you try. Besides, Aristotle can’t come get me and yell at me for not really understanding his writings very well. ...Just don’t tell his fans about me.
...more
",really liked it
6,B. P. Rinehart,"""Every state is a community of some kind, and every community is established with a view to some good; for mankind always act in order to obtain that which they think good. But, if all communities aim at some good, the state or political community, which is the highest of all, and which embraces all the rest, aims, and in a greater degree than any other, at the highest good."" from Book I I read this book for one of my political science classes and it marks my introduction to Aristotle. I have to say that despite his technical, opaque language it was a very good very informative read on how and why politics is created. This book is not as difficult as I thought it would be but it is not the warming receptive narrative of Plato. I won't go into detailed breakdown of every part of this treatise but the important points. The first point is that humans are political animals by nature because we have he ability for (sophisticated) speech and reason. The second thing is the idea of there being ""good"" forms of government and ""bad"" forms of government. The ""good"" forms of government are monarchy, aristocracy, and constitutional/polity. The ""bad"" forms of government are tyranny, oligarchy, and democracy. He spends a lot of time detailing different forms and examples of all of these types of government. For this project Aristotle spent years gathering information and surveying many all of the city-states in Greece and the ""barbarian"" countries outside of Greece. Despite living around Athens he believes Sparta (aristocracy) to be the best administered state in the Hellas. This was one of the most ambitious political science research projects in history to that point and it deserves the honor that it gets. 
...more
",really liked it
7,Maria," Aristotle, as well as Plato, holds that individuals aren't but part of a community, does not give rise to women in public, comparing them with slaves. Justifying slavery with nature, justifying all social malaise, responding to an anti democratic way of thinking, hence the need to say who is a citizen and who is not. Author atrocious, proving the insanity of the times before Christ, and the urgent need to revise more democratic and fairer systems. it's very clear how classical authors tends to think the politics in an organic way, understanding society as if it was a body, where each part has a specific funcion, where the whole precedes the parts, and the city is prior to man. Interesting book, not very clear if you don't read Plato before, and if you don't complements with classic contractualists after, the importance lies in getting the complete idea. 
...more
",liked it
8,Illiterate,"Aristotle (i) argues states seek the common happiness, (ii) stresses harmony and stability, (iii) allows different governments suit different societies.",really liked it
9,Xander,"Meant to serve as Part 2 in a lecture course, Politica is Aristotle's treatment of the State. As with everything he wrote and taught, the fundamental notion is his hylemorphism - the doctrine that everything consists of matter and form, and combined they serve some purpose or goal. The state consists of its citizens, as well as slaves and non-citizens (women, foreigners, etc.), and its form is the particular regime that orders society - i.e. its structure, institutions, laws and basically its power distribution. A citizen is someone who is able to rule and to be ruled, requiring a liberal education and hence leisure time to cultivate this virtuous disposition. As with everything Aristotle wrote, Politica is occupied with endless distinctions and differentiations. For example, Aristotle distinguishes six types of regime, based on the rule of one, some and many and the corruption or benefit of the political order. The good regimes are monarchy, aristocracy and polity; the bad ones are tyranny, oligarchy and democracy. While acknowledging that the best regime is a monarchy with an englightened despot (a 'pan basilea'), Aristotle also acknowledges that this type of regime is practically unrealistic - even if its instituted it is inherently stable due to factions waiting for a power grab. According to Aristotle, the most common types of regime are oligarchy and democracy - the rule of the rich and the rule of the power. The former leads to domination by those who own property, concluding that since some inequality exists, everything should be unequal. The latter leads to domination by those who are poor and destitute, who pander to demagogues, and conclude that since some equality exists, everything should be equal. As with the ideal state (i.e. the rule of an enlightened despot) factions are inevitable - different groups are on the hunt for offices that contain power and honour. In both types of regime the people and the elites are grabbing for power. Which leads Aristotle to claim that the best possible type of regime is one that combines oligarchy and democracy. The statesman should formulate laws that balance the power between the different factions, while the rulers should educate themselves in practical wisdom (phronesis), i.e. learning to distinguish, judge and act in the best interest of the community as a whole.This last remark is important. Aristotle sees the polity as an entity in itself, with its own purpose: the happiness (eudaimonia) of its citizens. This means that individual freedom is only secondary - the statesman should always keep the common good in his view.As a matter of fact, the whole Politica is sort of a handbook for the statesman. It oultines how he should govern and ensure that peace and stability are kept. Aristotle studies historical and contemporary societies to find the different types of constitutions, their peculiar strengths and weaknesses, and the particular dangers that threaten each type of regime. This is all done so that the statesman always knows how to respond appropriately to a situation. In the event of internal or external chaos, his goal is the speedy normalization of society, and here he is allowed to set traditions and laws aside. Aristotle recognizes the dangers of this: it breaks instituted habits and leads the people to openness to other ways of living. Yet context matters and sometimes the statesman needs room to manoeuvre in order to deal with threats. This makes Aristotle a relativistic conventionalist, in the sense that he both recognizes the multiplicity of possibilities for states to exist as well as the need to adhere to instituted traditions. (This, by the way, goes deeply against doctrines of later thinkers, like Hobbes, Weber, Machiavelli and Schmidt, who depart from extreme situations, like civil war, in order to build their theories of statesmanship. Aristotle departs from the stable normal situation, views conflicts as departures from convention, and sees the normalization as final goal.)The Politica is an interesting book, yet it is not well-structured and one feels very lost when diving into it. There is not a good strategy to read it - the book consists of endless referrals to earlier or later portions and the sequence of topics feels random at times. The most interesting parts (for me) were Aristotle's analyses of contemporary societies, in which he outlines all kinds of events and their underlying patterns. So this makes this book both a guide to obtain practical wisdom (as a statesman) as a historical source of ancient societies and customs. (Leaving aside how reliable Aristotle's sources and how non-partisan his descriptions were).It is an interesting book, especially after reading Ethica Nicomachea - there is some overlap between both works and some extension of prior topics - but I doubt if the Politica would spark some interest in the average modern reader. 
...more
",it was ok
